product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url
1%,2%,9%,27%,60%,4.43,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471156267.jpg,"573,274 ratings",https://www.bookdepository.com/It-Ends-With-Us-most-heartbreaking-novel-youll-ever-read-Colleen-Hoover/9781471156267
0%,0%,14%,14%,71%,4.57,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279225.jpg,14 ratings,https://www.bookdepository.com/Scum-Villains-Self-Saving-System-Ren-Zha-Fanpai-Zijiu-Xitong-Novel-Vol-2-Mo-Xiang-Tong-Xiu/9781648279225
2%,3%,11%,29%,55%,4.34,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471154621.jpg,"191,394 ratings",https://www.bookdepository.com/November-9-Colleen-Hoover/9781471154621
1%,2%,10%,28%,58%,4.41,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526648174.jpg,"586,566 ratings",https://www.bookdepository.com/Song-Achilles-Madeline-Miller/9781408891384
1%,4%,17%,37%,41%,4.13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0630/9780063045651.jpg,"60,013 ratings",https://www.bookdepository.com/It-Happened-One-Summer-Tessa-Bailey/9780063045651
1%,4%,11%,27%,57%,4.35,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5248/9781524860486.jpg,"1,738 ratings",https://www.bookdepository.com/Clarity-Connection-Yung-Pueblo/9781524860486
1%,4%,16%,38%,41%,4.14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8112/9780811204811.jpg,"42,693 ratings",https://www.bookdepository.com/No-Longer-Human-Osamu-Dazai/9780811204811
3%,5%,16%,33%,43%,4.08,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349414263.jpg,"332,703 ratings",https://www.bookdepository.com/Hating-Game-Sally-Thorne/9780349414263
1%,3%,18%,42%,36%,4.09,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473231078.jpg,"141,600 ratings",https://www.bookdepository.com/Blood-Elves-Witcher-1-Now-major-Netflix-show-Andrzej-Sapkowski/9781473231078
1%,2%,10%,28%,58%,4.41,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4088/9781408891384.jpg,"588,327 ratings",https://www.bookdepository.com/Song-Achilles-Madeline-Miller/9781408891384
