product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url
1,1,0,2,201,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/5a9ee344d2916f0001353c23/0x0.png,205,https://www.trustpilot.com/review/www.rockher.com
0,2,6,9,220,4.9,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5762aba90000ff0005913786/198x149.png,237,https://www.trustpilot.com/review/mothersfamilyrings.com
1,0,0,2,134,4.9,//s3-eu-west-1.amazonaws.com/tpd/screenshots/56e1d85f0000ff00058a08d0/198x149.png,137,https://www.trustpilot.com/review/indyfacets.com
0,0,0,4,161,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/5f5fb28dc252420001820361/0x0.png,165,https://www.trustpilot.com/review/buymoldavite.com
8,0,0,3,145,4.9,//s3-eu-west-1.amazonaws.com/tpd/screenshots/501b81d70000640005190e0b/198x149.png,156,https://www.trustpilot.com/review/www.lioridiamonds.com
0,0,0,1,166,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/5f1066b460cb900001c7f1e8/0x0.png,167,https://www.trustpilot.com/review/idazz.com
3,1,3,13,308,4.9,//s3-eu-west-1.amazonaws.com/tpd/screenshots/58d13cfd0000ff00059eeb94/198x149.png,328,https://www.trustpilot.com/review/krikawa.com
0,0,0,9,155,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/5f0e282763dcdb00014893bc/0x0.png,164,https://www.trustpilot.com/review/zudo.co
8,10,9,32,338,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/4adbd3ee000064000504caea/0x0.png,397,https://www.trustpilot.com/review/www.irishshop.com
2,0,1,9,505,4.9,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4d36d3aa00006400050e6a04/198x149.png,517,https://www.trustpilot.com/review/leibish.com
11,4,1,5,315,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/5de08cdca521610001945cec/0x0.png,336,https://www.trustpilot.com/review/consciousitems.com
26,7,9,104,1,662,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/496b0d040000640005040876/0x0.png,1,808,https://www.trustpilot.com/review/www.brilliance.com
0,0,0,0,104,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/5e838d845a0be6000165ac41/0x0.png,104,https://www.trustpilot.com/review/www.gemjewelersco.com
20,6,29,201,2,143,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/5b5e8f2de84b250001ac8bc3/0x0.png,2,399,https://www.trustpilot.com/review/moissaniteco.com
1,0,1,6,246,4.9,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5ca5093b9121e1000152f473/198x149.png,254,https://www.trustpilot.com/review/mallardjewellers.co.uk
13,12,16,49,1,278,4.9,//s3-eu-west-1.amazonaws.com/tpd/logos/514d17100000640005249fd5/0x0.png,1,368,https://www.trustpilot.com/review/briangavindiamonds.com
1,0,0,2,219,5.0,//s3-eu-west-1.amazonaws.com/tpd/screenshots/4f0f530e00006400051239f3/198x149.png,222,https://www.trustpilot.com/review/overnightdiamonds.com
