product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_url
0%,1%,3%,5%,92%,4.9,https://images-na.ssl-images-amazon.com/images/I/713RMliztIL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
1%,0%,6%,6%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/71OpGvsy0RL.__AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
3%,1%,3%,9%,84%,4.7,https://m.media-amazon.com/images/I/51QxA-98Q+L._AC_SX342_SY445_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
0%,2%,3%,11%,84%,4.8,https://images-na.ssl-images-amazon.com/images/I/51kalFzHKdL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
2%,0%,3%,6%,89%,4.8,https://images-na.ssl-images-amazon.com/images/I/71nTnRBWW6L.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
0%,0%,3%,19%,78%,4.8,https://images-na.ssl-images-amazon.com/images/I/51heBgNPg-L.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
0%,1%,3%,10%,85%,4.8,https://images-na.ssl-images-amazon.com/images/I/81enFh4oiwL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
0%,0%,4%,9%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/81T59yozmpL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
2%,0%,2%,7%,89%,4.8,https://images-na.ssl-images-amazon.com/images/I/61cxhin4XqL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
0%,0%,3%,8%,89%,4.9,https://images-na.ssl-images-amazon.com/images/I/81Xy2cU4qQL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
0%,1%,2%,12%,86%,4.8,https://images-na.ssl-images-amazon.com/images/I/41q2J2EY9MS.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
0%,0%,0%,13%,87%,4.9,https://images-na.ssl-images-amazon.com/images/I/61Fvb1vkxIL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
1%,1%,2%,9%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/61HL0tbcVPL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS/ref=sr_1_32?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017975&sprefix=headp%2Caps%2C314&sr=8-32
1%,2%,2%,7%,88%,4.8,https://images-na.ssl-images-amazon.com/images/I/81ydKOdA0sL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
2%,1%,3%,9%,85%,4.8,https://images-na.ssl-images-amazon.com/images/I/81UrUMCKXDL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
2%,1%,3%,9%,85%,4.8,https://m.media-amazon.com/images/I/71I0lybSq+L._AC_SY300_SX300_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
2%,1%,3%,10%,84%,4.7,https://images-na.ssl-images-amazon.com/images/I/71Aclgd057L.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
1%,2%,4%,13%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/71GYpKox90L.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
2%,2%,3%,11%,83%,4.7,https://images-na.ssl-images-amazon.com/images/I/61rC-yMhtZL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
2%,1%,5%,13%,79%,4.7,https://m.media-amazon.com/images/I/71EjJm0+2UL._AC_SY300_SX300_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
3%,2%,3%,10%,82%,4.7,https://images-na.ssl-images-amazon.com/images/I/61mq3DocJ1L.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
1%,1%,4%,13%,81%,4.7,https://images-na.ssl-images-amazon.com/images/I/61YaH4ekhVL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
2%,2%,4%,13%,79%,4.7,https://images-na.ssl-images-amazon.com/images/I/816xGwuaaOL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com//Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE/ref=sr_1_48?crid=A88Q82ATWW8O&keywords=headphones&qid=1640017979&sprefix=headp%2Caps%2C314&sr=8-48
