product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url,ID
0%,1%,5%,11%,83%,4.8,https://images-na.ssl-images-amazon.com/images/I/81enFh4oiwL.__AC_SX300_SY300_QL70_ML2_.jpg,"136",https://www.amazon.com/LIERONT-Over-Ear-Headphone-Cancelling-Bluetooth/dp/B09CTGH8FN,AMZN-1
0%,2%,4%,0%,94%,4.9,https://images-na.ssl-images-amazon.com/images/I/71ejMbYeZwL.__AC_SX300_SY300_QL70_ML2_.jpg,"124",https://www.amazon.com/Wireless-Bluetooth-Headphones-Waterproof-Earphones/dp/B09P3Q59J9,AMZN-2
1%,0%,6%,6%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/71OpGvsy0RL.__AC_SY300_SX300_QL70_ML2_.jpg,"89",https://www.amazon.com/DRIVE-AUDIO-Wireless-Headphones-DriveAudio/dp/B07123Y1DX,AMZN-3
1%,0%,4%,9%,85%,4.8,https://images-na.ssl-images-amazon.com/images/I/81T59yozmpL.__AC_SX300_SY300_QL70_ML2_.jpg,"124",https://www.amazon.com/Ghostbusters-Headphones-Microphone-Rechargeable-Adjustable/dp/B083QNL1CW,AMZN-4
0%,0%,0%,14%,86%,4.9,https://images-na.ssl-images-amazon.com/images/I/71yyNSjQjNL.__AC_SX300_SY300_QL70_ML2_.jpg,"40",https://www.amazon.com/Headphones-New-bee-KH20-Lightweight/dp/B09HZLRVGK,AMZN-5
2%,2%,2%,7%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/61DydOcMJxL.__AC_SX300_SY300_QL70_ML2_.jpg,"196",https://www.amazon.com/Sony-WH-1000XM4-Wireless-Canceling-Headphones/dp/B08WZXP336,AMZN-6
0%,2%,3%,12%,83%,4.8,https://images-na.ssl-images-amazon.com/images/I/51kalFzHKdL.__AC_SX300_SY300_QL70_ML2_.jpg,"115",https://www.amazon.com/Aenllosi-Compatible-TUNE500BT-Lightweight-Headphones/dp/B07P8PGPMM,AMZN-7
0%,0%,0%,12%,88%,4.9,https://images-na.ssl-images-amazon.com/images/I/61Fvb1vkxIL.__AC_SX300_SY300_QL70_ML2_.jpg,"52",https://www.amazon.com/beyerdynamic-DT-990-Pro-250-Professional-Acoustically-Headphones/dp/B0856XSSFW,AMZN-8
2%,0%,2%,7%,89%,4.8,https://images-na.ssl-images-amazon.com/images/I/61cxhin4XqL.__AC_SX300_SY300_QL70_ML2_.jpg,"240",https://www.amazon.com/Conduction-Headphones-Bluetooth-Waterproof-Activities/dp/B09JK3RQZL,AMZN-9
1%,1%,2%,9%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/71CNFlF4qzL.__AC_SX300_SY300_QL70_ML2_.jpg,"302",https://www.amazon.com/Wireless-Bluetooth-Headphones-Earphones-BMANI-VEAT00L/dp/B09JC2VJYT,AMZN-10
0%,1%,2%,12%,86%,4.8,https://images-na.ssl-images-amazon.com/images/I/41q2J2EY9MS.__AC_SX300_SY300_QL70_ML2_.jpg,"495",https://www.amazon.com/aceyoon-Under-Headphone-Stand-Adjustable-Installation-Multifunctional/dp/B07QYRLFPV,AMZN-11
2%,1%,2%,10%,85%,4.8,https://images-na.ssl-images-amazon.com/images/I/61HL0tbcVPL.__AC_SX300_SY300_QL70_ML2_.jpg,"665",https://www.amazon.com/Audio-Technica-ATH-M50x-Professional-Headphones-Headphone/dp/B00NT08MAI,AMZN-12
1%,1%,3%,9%,86%,4.8,https://m.media-amazon.com/images/I/71I0lybSq+L._AC_SY300_SX300_.jpg,"3489",https://www.amazon.com/Skullcandy-Crusher-Wireless-Over-Ear-Headphone/dp/B08FCGH2RL,AMZN-13
2%,1%,2%,8%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/71-UPisBswL.__AC_SX300_SY300_QL70_ML2_.jpg,"6451",https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/dp/B07NXDPLJ9,AMZN-14
1%,2%,2%,7%,88%,4.8,https://images-na.ssl-images-amazon.com/images/I/81ydKOdA0sL.__AC_SX300_SY300_QL70_ML2_.jpg,"958",https://www.amazon.com/Sennheiser-HD-660-Audiophile-Headphone/dp/B076HP574T,AMZN-15
2%,1%,3%,9%,85%,4.8,https://images-na.ssl-images-amazon.com/images/I/81UrUMCKXDL.__AC_SX300_SY300_QL70_ML2_.jpg,"1707",https://www.amazon.com/Sennheiser-Open-Back-Professional-Headphone/dp/B00004SY4H,AMZN-16
3%,2%,3%,10%,82%,4.7,https://images-na.ssl-images-amazon.com/images/I/61mq3DocJ1L.__AC_SX300_SY300_QL70_ML2_.jpg,"6725",https://www.amazon.com/Bose-Cancelling-Bluetooth-Headphones-Soapstone/dp/B07X5F81JS,AMZN-17
3%,1%,3%,9%,84%,4.7,https://m.media-amazon.com/images/I/51-+O3-wFxL._AC_SX342_SY445_.jpg,"7152",https://www.amazon.com/Beats-Studio3-Wireless-Over%E2%80%91Ear-Headphones/dp/B085296FLT,AMZN-18
3%,2%,4%,10%,82%,4.7,https://images-na.ssl-images-amazon.com/images/I/519EahgX90L.__AC_SY300_SX300_QL70_ML2_.jpg,"20435",https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/dp/B07G4MNFS1,AMZN-19
1%,1%,4%,13%,81%,4.7,https://images-na.ssl-images-amazon.com/images/I/61YaH4ekhVL.__AC_SX300_SY300_QL70_ML2_.jpg,"7032",https://www.amazon.com/Headphones-noot-products-K22-Tangle-Free-Tablet-Flamingo/dp/B07H2PGXT5,AMZN-20
2%,2%,4%,13%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/816xGwuaaOL.__AC_SX300_SY300_QL70_ML2_.jpg,"5596",https://www.amazon.com/Audio-Technica-ATHM40x-Professional-Monitor-Headphones/dp/B00HVLUR54,AMZN-21
4%,1%,3%,9%,83%,4.7,https://images-na.ssl-images-amazon.com/images/I/714og8zjjDL.__AC_SX342_SY445_QL70_ML2_.jpg,"16385",https://www.amazon.com/Beats-Solo3-Wireless-Headphones-Anniversary/dp/B07HJJ94NJ,AMZN-22
1%,1%,4%,13%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/71cBALUrUAL.__AC_SX300_SY300_QL70_ML2_.jpg,"8796",https://www.amazon.com/POWMEE-M2-Headphones-Adjustable-Tangle-Free/dp/B07P7SXYRB,AMZN-23
2%,1%,4%,13%,81%,4.7,https://images-na.ssl-images-amazon.com/images/I/71iHz1BCPCL.__AC_SX300_SY300_QL70_ML2_.jpg,"11368",https://www.amazon.com/POWMEE-M1-Headphones-Adjustable-Tangle-Free/dp/B07MF6QJBM,AMZN-24
2%,1%,3%,8%,85%,4.7,https://m.media-amazon.com/images/I/81+jNVOUsJL._AC_SY300_SX300_.jpg,"54553",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD,AMZN-25
2%,1%,4%,13%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/51eL8U9VWaS.__AC_SX300_SY300_QL70_ML2_.jpg,"11437",https://www.amazon.com/Koss-Porta-Headphones-Black-Silver/dp/B00001P4ZH,AMZN-26
2%,1%,4%,12%,81%,4.7,https://images-na.ssl-images-amazon.com/images/I/51jnken0iML.__AC_SX300_SY300_QL70_ML2_.jpg,"463",https://www.amazon.com/AfterShokz-Conduction-Wireless-Bluetooth-Headphones/dp/B08L615DRD,AMZN-27
3%,2%,4%,11%,81%,4.7,https://images-na.ssl-images-amazon.com/images/I/418F1TwYWEL.__AC_SX300_SY300_QL70_ML2_.jpg,"667",https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-Ultra-Portable/dp/B08GKWXRF4,AMZN-28
2%,1%,3%,14%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/71vYqjcEDNL.__AC_SX300_SY300_QL70_ML2_.jpg,"687",https://www.amazon.com/Zamkol-Wireless-Headphones-Bluetooth-Microphone/dp/B08LG67VW3,AMZN-29
2%,1%,4%,13%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/715Sv8XftgL.__AC_SX300_SY300_QL70_ML2_.jpg,"29638",https://www.amazon.com/Kids-Headphones-products-Tangle-Free-Ear/dp/B0746RBK2M,AMZN-30
1%,3%,4%,9%,83%,4.7,https://images-na.ssl-images-amazon.com/images/I/71e3CokPkDL.__AC_SX300_SY300_QL70_ML2_.jpg,"800",https://www.amazon.com/Meze-Classics-Walnut-Headphones-Black/dp/B018VZBH5M,AMZN-31
3%,2%,4%,8%,83%,4.7,https://images-na.ssl-images-amazon.com/images/I/31Ptw7FPAAL._SX300_SY300_QL70_ML2_.jpg,"836",https://www.amazon.com/beyerdynamic-880-Over-Ear-Studio-Headphone/dp/B001B1QENY,AMZN-32
2%,1%,4%,13%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/71S1pxklcdL.__AC_SX300_SY300_QL70_ML2_.jpg,"1101",https://www.amazon.com/Aproca-Compatible-Rechargeable-Headphones-Bluetooth/dp/B07BSBY8BQ,AMZN-33
3%,2%,3%,10%,83%,4.7,https://images-na.ssl-images-amazon.com/images/I/61zM6Ixx25L.__AC_SX300_SY300_QL70_ML2_.jpg,"971",https://www.amazon.com/Vic-Firth-Isolation-Headphones-SIH2/dp/B079PTW3K5,AMZN-34
4%,1%,3%,8%,84%,4.7,https://m.media-amazon.com/images/I/81+jNVOUsJL._AC_SY300_SX300_.jpg,"1099",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B079NM341X,AMZN-35
2%,1%,5%,9%,82%,4.7,https://images-na.ssl-images-amazon.com/images/I/61PAJaRUcKL.__AC_SX300_SY300_QL70_ML2_.jpg,"1145",https://www.amazon.com/Aftershokz-AS650CR-BR-Conduction-Headphones-Reflective/dp/B07G3JBMKZ,AMZN-36
1%,1%,4%,13%,81%,4.7,https://images-na.ssl-images-amazon.com/images/I/714dVWam9aL.__AC_SX300_SY300_QL70_ML2_.jpg,"2947",https://www.amazon.com/Headphones-noot-products-K33-Tangle-Free-Smartphones/dp/B07TPLQVGQ,AMZN-37
3%,2%,3%,11%,81%,4.7,https://images-na.ssl-images-amazon.com/images/I/81BAtmyPccL.__AC_SX300_SY300_QL70_ML2_.jpg,"2640",https://www.amazon.com/Sennheiser-HD-598-Over-Ear-Headphones/dp/B0126HISOO,AMZN-38
2%,2%,4%,11%,82%,4.7,https://images-na.ssl-images-amazon.com/images/I/813vag8o5QL.__AC_SX300_SY300_QL70_ML2_.jpg,"3677",https://www.amazon.com/Sony-MDRV6-Studio-Monitor-Headphones/dp/B00001WRSJ,AMZN-39
1%,1%,4%,13%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/71GYpKox90L.__AC_SX300_SY300_QL70_ML2_.jpg,"3683",https://www.amazon.com/Headphones-Microphone-noot-products-K12/dp/B07TKBTCVS,AMZN-40
0%,2%,3%,22%,73%,4.7,https://images-na.ssl-images-amazon.com/images/I/81oQI-Iu-8L.__AC_SX300_SY300_QL70_ML2_.jpg,"98",https://www.amazon.com/Yamaha-HPH-100B-Dynamic-Closed-Back-Headphones/dp/B013WW90PS,AMZN-41
1%,3%,4%,7%,83%,4.7,https://images-na.ssl-images-amazon.com/images/I/41kdNA1wnNL.__AC_SY445_SX342_QL70_ML2_.jpg,"123",https://www.amazon.com/Beats-Solo%C2%B3-Wireless-Ear-Headphones/dp/B0873ZQMLT,AMZN-42
0%,0%,4%,8%,88%,4.8,https://images-na.ssl-images-amazon.com/images/I/71ZYH3HU2vL.__AC_SX300_SY300_QL70_ML2_.jpg,"43",https://www.amazon.com/Lalacosy-Headphones-Birthday-Children-Princess/dp/B095H8L9QR,AMZN-43
0%,3%,0%,12%,84%,4.8,https://images-na.ssl-images-amazon.com/images/I/61Mb-UISErL.__AC_SX300_SY300_QL70_ML2_.jpg,"44",https://www.amazon.com/Headphones-Headphone-Foldable-Adjustable-Children/dp/B09B9RMKCS,AMZN-44
2%,2%,4%,10%,82%,4.7,https://images-na.ssl-images-amazon.com/images/I/71So77iFC6L.__AC_SX300_SY300_QL70_ML2_.jpg,"150",https://www.amazon.com/Audonia-E7-Active-Noise-Cancelling/dp/B09FF39ZM6,AMZN-45
2%,2%,3%,9%,84%,4.7,https://images-na.ssl-images-amazon.com/images/I/71y01f8C3vL.__AC_SX300_SY300_QL70_ML2_.jpg,"141",https://www.amazon.com/AKG-Semi-Open-Professional-Headphones-Headphone/dp/B07KCZX221,AMZN-46
2%,3%,3%,8%,84%,4.7,https://images-na.ssl-images-amazon.com/images/I/612oYRSDxbL.__AC_SX300_SY300_QL70_ML2_.jpg,"171",https://www.amazon.com/beyerdynamic-DT-990-Acoustically-Headphones-Headphone/dp/B087RQH577,AMZN-47
2%,0%,7%,10%,82%,4.7,https://images-na.ssl-images-amazon.com/images/I/41unN25D6gL.__AC_SX300_SY300_QL70_ML2_.jpg,"189",https://www.amazon.com/Aenllosi-Carrying-300BT-Wireless-Headphones/dp/B07XBWBMZY,AMZN-48
2%,0%,3%,10%,85%,4.8,https://images-na.ssl-images-amazon.com/images/I/61n6CNzI4UL.__AC_SX300_SY300_QL70_ML2_.jpg,"52",https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B08GKW7H1C,AMZN-49
2%,1%,2%,15%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/61AzLDN3YOL.__AC_SX300_SY300_QL70_ML2_.jpg,"212",https://www.amazon.com/Pack-iClever-Kids-Headphones-Microphone/dp/B08R9T375R,AMZN-50
2%,2%,2%,14%,80%,4.7,https://images-na.ssl-images-amazon.com/images/I/61BUDPYPb6S.__AC_SX300_SY300_QL70_ML2_.jpg,"249",https://www.amazon.com/Infurture-Headphones-Microphone-Compatible-Cellphones/dp/B08VJDY27M,AMZN-51
2%,1%,4%,10%,84%,4.7,https://images-na.ssl-images-amazon.com/images/I/51azLM7v14L.__AC_SX300_SY300_QL70_ML2_.jpg,"260",https://www.amazon.com/Sony-4334205465-DJ-Headphones/dp/B073BWKNVV,AMZN-52
2%,1%,4%,14%,79%,4.7,https://images-na.ssl-images-amazon.com/images/I/61D61fnevUS.__AC_SX300_SY300_QL70_ML2_.jpg,"281",https://www.amazon.com/Nilogie-A21-Headphones-Cellphone-Airplane/dp/B098L1B4MZ,AMZN-53
0%,3%,0%,12%,85%,4.8,https://images-na.ssl-images-amazon.com/images/I/81wc1xwT1JL.__AC_SX300_SY300_QL70_ML2_.jpg,"39",https://www.amazon.com/AKG-Professional-Semi-Open-Headphones-Headphone/dp/B08Q4BMM3B,AMZN-54
2%,3%,5%,8%,83%,4.7,https://images-na.ssl-images-amazon.com/images/I/61CY7Q7m3kL.__AC_SX300_SY300_QL70_ML2_.jpg,"289",https://www.amazon.com/Vic-Kidphones-Non-electronic-Isolation-headphones/dp/B000Z31GGE,AMZN-55
4%,2%,4%,12%,78%,4.6,https://images-na.ssl-images-amazon.com/images/I/7118TJAtRXL.__AC_SX300_SY300_QL70_ML2_.jpg,"7583",https://www.amazon.com/Marshall-Major-Bluetooth-Wireless-Headphones/dp/B07CDZD8B7,AMZN-56
3%,2%,5%,11%,79%,4.6,https://m.media-amazon.com/images/I/61+7N6oE69L._AC_SY300_SX300_.jpg,"7433",https://www.amazon.com/Riwbox-Bluetooth-Headphones-Foldable-Microphone/dp/B071FJ1763,AMZN-57
4%,2%,5%,10%,78%,4.6,https://images-na.ssl-images-amazon.com/images/I/51Gm1kSEJRL.__AC_SY445_SX342_QL70_ML2_.jpg,"7727",https://www.amazon.com/Beats-EP-On-Ear-Headphones-Red/dp/B01LYIN5V7,AMZN-58
2%,2%,4%,14%,78%,4.6,https://images-na.ssl-images-amazon.com/images/I/81OL7eorGHL.__AC_SX300_SY300_QL70_ML2_.jpg,"10719",https://www.amazon.com/Sony-WH-XB900N-Wireless-Canceling-Headphones/dp/B07RM8WQ8G,AMZN-59
3%,2%,5%,13%,77%,4.6,https://images-na.ssl-images-amazon.com/images/I/61YWXi9LSdS.__AC_SX300_SY300_QL70_ML2_.jpg,"7868",https://www.amazon.com/i36-Headphones-Adjustable-Compatible-Cellphones/dp/B07518KZ17,AMZN-60
3%,2%,4%,11%,80%,4.6,https://images-na.ssl-images-amazon.com/images/I/71QbbvhjDcL.__AC_SX300_SY300_QL70_ML2_.jpg,"16371",https://www.amazon.com/Skullcandy-Bluetooth-Headphone-Microphone-Adjustable/dp/B01DWH77GC,AMZN-61
2%,2%,5%,15%,76%,4.6,https://images-na.ssl-images-amazon.com/images/I/71wQVZhuQ3L.__AC_SX300_SY300_QL70_ML2_.jpg,"8385",https://www.amazon.com/Audio-Technica-ATH-M20x-Professional-Monitor-Headphones/dp/B00HVLUR18,AMZN-62
2%,2%,6%,14%,76%,4.6,https://m.media-amazon.com/images/I/61Ca+bjvjoL._AC_SY300_SX300_.jpg,"8058",https://www.amazon.com/AKG-K240STUDIO-Semi-Open-Professional-Headphones/dp/B0001ARCFA,AMZN-63
3%,2%,4%,11%,79%,4.6,https://images-na.ssl-images-amazon.com/images/I/71jDdUuRi8L.__AC_SX300_SY300_QL70_ML2_.jpg,"26224",https://www.amazon.com/Bose-SoundLink-around-ear-wireless-headphones/dp/B0117RGG8E,AMZN-64
3%,2%,5%,14%,77%,4.6,https://images-na.ssl-images-amazon.com/images/I/71KEOerw6VL.__AC_SX300_SY300_QL70_ML2_.jpg,"10974",https://www.amazon.com/Skullcandy-Hesh-Wireless-Over-Ear-Headphone/dp/B00NCSIN4W,AMZN-65
3%,2%,6%,14%,75%,4.6,https://images-na.ssl-images-amazon.com/images/I/6152rEOcLaL.__AC_SX300_SY300_QL70_ML2_.jpg,"11067",https://www.amazon.com/iClever-Kids-Headphones-Adjustable-Untangled/dp/B076JDPH5D,AMZN-66
