product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url,ID
7%,5%,9%,41%,37%,"3.9""",https://images-na.ssl-images-amazon.com/images/I/61ZDTBF3oML.__AC_SX300_SY300_QL70_ML2_.jpg,93,https://www.amazon.com/Sony-MDR-HW700-Wireless-Headphone-MDR-HW700DS/dp/B00FJISYRY,AMZN-1
24%,0%,12%,0%,64%,"3.8""",https://images-na.ssl-images-amazon.com/images/I/61MWSY6J4gL.__AC_SX300_SY300_QL70_ML2_.jpg,8,https://www.amazon.com/Audeze-SINE-ear-Open-Headphone/dp/B076D8P8QP,AMZN-2
0%,0%,0%,0%,100%,"5.0""",https://images-na.ssl-images-amazon.com/images/I/712S-wLYhKL.__AC_SX300_SY300_QL70_ML2_.jpg,2,https://www.amazon.com/Focal-Wireless-Headphones-Technology-Compatible/dp/B07C58RZ6X,AMZN-3
22%,8%,7%,15%,48%,"3.6""",https://images-na.ssl-images-amazon.com/images/I/51qCIunQ9ZL.__AC_SX300_SY300_QL70_ML2_.jpg,86,https://www.amazon.com/Koss-GMR-545-AIR-Headphones-Detachable-Microphones/dp/B0759XHKQK,AMZN-4
5%,4%,8%,19%,63%,"4.3""",https://m.media-amazon.com/images/I/713r+jMYl9L._AC_SY300_SX300_.jpg,4403,https://www.amazon.com/Cancelling-Lightweight-Srhythm-NC35-Microphones/dp/B083W4R9DN,AMZN-5
17%,10%,14%,13%,46%,"3.6""",https://images-na.ssl-images-amazon.com/images/I/71p7e0wVQ0L.__AC_SX300_SY300_QL70_ML2_.jpg,47,https://www.amazon.com/Wireless-Bluetooth-Headphones-Foldable-EverPlay-X/dp/B07BBYVYF4,AMZN-6
4%,4%,5%,15%,72%,"4.5""",https://m.media-amazon.com/images/I/81H3Ar+iUjL._AC_SY300_SX300_.jpg,89,https://www.amazon.com/ONANOFF-BuddyPhones-Noise-Cancelling-Limiting-Headphones/dp/B084RG47PQ,AMZN-7
6%,8%,16%,14%,57%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/61euONmLFuL.__AC_SX300_SY300_QL70_ML2_.jpg,52,https://www.amazon.com/Sony-Wireless-Headphone-Cable-Bundle/dp/B07J2QDJQ7,AMZN-8
5%,4%,9%,16%,65%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/61BY6O4cB5L.__AC_SX300_SY300_QL70_ML2_.jpg,316,https://www.amazon.com/Focal-Wireless-Over-Ear-Headphones-Microphone/dp/B073X5RTJL,AMZN-9
24%,8%,4%,10%,54%,"3.6""",https://images-na.ssl-images-amazon.com/images/I/31Bhch7zAXL.__AC_SX300_SY300_QL70_ML2_.jpg,15,https://www.amazon.com/meidongg-Cancelling-Headphones-Microphone-TravelWorkTVComputerCellphone/dp/B098QCKN3W,AMZN-10
4%,3%,10%,14%,69%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/61gkSo8LrBL.__AC_SX300_SY300_QL70_ML2_.jpg,1466,https://www.amazon.com/Edifier-W800BT-Bluetooth-Headphones-Over/dp/B0746MM2S1,AMZN-11
3%,5%,8%,19%,65%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/71mliLDABqL.__AC_SX300_SY300_QL70_ML2_.jpg,572,https://www.amazon.com/Monster-Cancelling-Headphones-Bluetooth-Cushions/dp/B08DXQTY4X,AMZN-12
4%,6%,13%,19%,57%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/51Push32zjL.__AC_SX300_SY300_QL70_ML2_.jpg,84,https://www.amazon.com/Soundnetic-Pack-Over-Headphones-SN313/dp/B07Z43C7WX,AMZN-13
11%,6%,11%,15%,56%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/51XzZCJY7gS.__AC_SX300_SY300_QL70_ML2_.jpg,438,https://www.amazon.com/Avantree-Cancelling-Headphones-Microphone-Conference/dp/B07ZTDNHN9,AMZN-14
3%,3%,8%,26%,60%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/81jlijG2hGL.__AC_SX300_SY300_QL70_ML2_.jpg,48,https://www.amazon.com/Samson-Technologies-SAM-HP30-Headphones/dp/B00MXC77PE,AMZN-15
10%,4%,8%,12%,68%,"4.2""",https://images-na.ssl-images-amazon.com/images/I/71RGZ2CKWGL.__AC_SX300_SY300_QL70_ML2_.jpg,636,https://www.amazon.com/Beats-Solo-WIRED-Ear-Headphone/dp/B00Y2IJ3IQ,AMZN-16
5%,3%,7%,18%,68%,"4.4""",https://images-na.ssl-images-amazon.com/images/I/71YfBHCxMAL.__AC_SX300_SY300_QL70_ML2_.jpg,4433,https://www.amazon.com/PowerLocus-Bluetooth-Headphones-Wireless-Assistant/dp/B08CXYBH5L,AMZN-17
12%,6%,5%,22%,55%,"4.0""",https://images-na.ssl-images-amazon.com/images/I/71OLeSN9cAL.__AC_SX300_SY300_QL70_ML2_.jpg,629,https://www.amazon.com/Klipsch-Image-ONE-Ear-Discontinued/dp/B0096QYNRA,AMZN-18
25%,23%,0%,23%,29%,"3.1""",https://images-na.ssl-images-amazon.com/images/I/41kmB41gGWL.__AC_SX300_SY300_QL70_ML2_.jpg,5,https://www.amazon.com/Planet-Extreme-Foldable-Canceling-Headphones/dp/B004MF53TM,AMZN-19
6%,3%,9%,14%,67%,"4.3""",https://images-na.ssl-images-amazon.com/images/I/61yQ9ImBP5L.__AC_SX300_SY300_QL70_ML2_.jpg,899,https://www.amazon.com/Motorola-Pulse-Max-Ultra-Lightweight-Studio-Quality/dp/B075Y16MQK,AMZN-20
19%,6%,12%,15%,48%,"3.7""",https://images-na.ssl-images-amazon.com/images/I/718QGheI7oL.__AC_SX300_SY300_QL70_ML2_.jpg,1952,https://www.amazon.com/Listener-Rechargeable-Wireless-Headphones-Listening/dp/B003S3DEUY,AMZN-21
9%,7%,9%,13%,62%,"4.1""",https://images-na.ssl-images-amazon.com/images/I/51QpT5jDcBL.__AC_SX300_SY300_QL70_ML2_.jpg,70,https://www.amazon.com/Avantree-Headphones-Wireless-Bluetooth-Headset/dp/B08JY7SRVK,AMZN-22
3%,4%,8%,11%,75%,"4.5""",https://images-na.ssl-images-amazon.com/images/I/51-haVgVVDL.__AC_SX300_SY300_QL70_ML2_.jpg,84,https://www.amazon.com/JBL-TUNE500-Headphones-One-Button-Remote/dp/B07HDK17TX,AMZN-23
