product_1_star,product_2_star,product_3_star,product_4_star,product_5_star,product_avg_rating,product_img,product_num_reviews,product_url
0%,1%,5%,11%,83%,4.8,https://images-na.ssl-images-amazon.com/images/I/81enFh4oiwL.__AC_SX300_SY300_QL70_ML2_.jpg,136,https://www.amazon.com/LIERONT-Over-Ear-Headphone-Cancelling-Bluetooth/dp/B09CTGH8FN
0%,2%,4%,0%,94%,4.9,https://images-na.ssl-images-amazon.com/images/I/71ejMbYeZwL.__AC_SX300_SY300_QL70_ML2_.jpg,124,https://www.amazon.com/Wireless-Bluetooth-Headphones-Waterproof-Earphones/dp/B09P3Q59J9
1%,0%,6%,6%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/71OpGvsy0RL.__AC_SY300_SX300_QL70_ML2_.jpg,89,https://www.amazon.com/DRIVE-AUDIO-Wireless-Headphones-DriveAudio/dp/B07123Y1DX
1%,0%,4%,9%,85%,4.8,https://images-na.ssl-images-amazon.com/images/I/81T59yozmpL.__AC_SX300_SY300_QL70_ML2_.jpg,124,https://www.amazon.com/Ghostbusters-Headphones-Microphone-Rechargeable-Adjustable/dp/B083QNL1CW
0%,0%,0%,14%,86%,4.9,https://images-na.ssl-images-amazon.com/images/I/71yyNSjQjNL.__AC_SX300_SY300_QL70_ML2_.jpg,40,https://www.amazon.com/Headphones-New-bee-KH20-Lightweight/dp/B09HZLRVGK
2%,2%,2%,7%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/61DydOcMJxL.__AC_SX300_SY300_QL70_ML2_.jpg,196,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Canceling-Headphones/dp/B08WZXP336
0%,2%,3%,12%,83%,4.8,https://images-na.ssl-images-amazon.com/images/I/51kalFzHKdL.__AC_SX300_SY300_QL70_ML2_.jpg,115,https://www.amazon.com/Aenllosi-Compatible-TUNE500BT-Lightweight-Headphones/dp/B07P8PGPMM
0%,0%,0%,12%,88%,4.9,https://images-na.ssl-images-amazon.com/images/I/61Fvb1vkxIL.__AC_SX300_SY300_QL70_ML2_.jpg,52,https://www.amazon.com/beyerdynamic-DT-990-Pro-250-Professional-Acoustically-Headphones/dp/B0856XSSFW
2%,0%,2%,7%,89%,4.8,https://images-na.ssl-images-amazon.com/images/I/61cxhin4XqL.__AC_SX300_SY300_QL70_ML2_.jpg,240,https://www.amazon.com/Conduction-Headphones-Bluetooth-Waterproof-Activities/dp/B09JK3RQZL
1%,1%,2%,9%,87%,4.8,https://images-na.ssl-images-amazon.com/images/I/71CNFlF4qzL.__AC_SX300_SY300_QL70_ML2_.jpg,302,https://www.amazon.com/Wireless-Bluetooth-Headphones-Earphones-BMANI-VEAT00L/dp/B09JC2VJYT
0%,1%,2%,12%,86%,4.8,https://images-na.ssl-images-amazon.com/images/I/41q2J2EY9MS.__AC_SX300_SY300_QL70_ML2_.jpg,495,https://www.amazon.com/aceyoon-Under-Headphone-Stand-Adjustable-Installation-Multifunctional/dp/B07QYRLFPV
2%,1%,2%,10%,85%,4.8,https://images-na.ssl-images-amazon.com/images/I/61HL0tbcVPL.__AC_SX300_SY300_QL70_ML2_.jpg,665,https://www.amazon.com/Audio-Technica-ATH-M50x-Professional-Headphones-Headphone/dp/B00NT08MAI
1%,1%,3%,9%,86%,4.8,https://m.media-amazon.com/images/I/71I0lybSq+L._AC_SY300_SX300_.jpg,"3,489",https://www.amazon.com/Skullcandy-Crusher-Wireless-Over-Ear-Headphone/dp/B08FCGH2RL
